Algorithm,Local Noise,Comm Noise Mult,Strategy,CAT Error,tp Error
dj_indep_5q,0.005,1.1,local,0.14499999999999996,0.10199999999999998
dj_indep_5q,0.005,1.1,no,0.04399999999999996,0.10200000000000001
dj_indep_5q,0.005,1.2,global,0.054999999999999896,0.07599999999999993
dj_indep_5q,0.005,1.2,local,0.09999999999999995,0.09799999999999996
dj_indep_5q,0.005,1.2,no,0.072,0.06799999999999998
dj_indep_5q,0.01,1.0,global,0.06999999999999995,0.09999999999999996
dj_indep_5q,0.01,1.0,local,0.039999999999999945,0.07999999999999999
dj_indep_5q,0.01,1.0,no,0.05199999999999998,0.092
dj_indep_5q,0.01,1.1,global,0.1799999999999999,0.04199999999999998
dj_indep_5q,0.01,1.1,local,0.0399999999999999,0.07799999999999999
dj_indep_5q,0.01,1.1,no,0.10199999999999998,0.07200000000000002
dj_indep_5q,0.01,1.2,global,0.049999999999999954,0.14199999999999996
dj_indep_5q,0.01,1.2,local,0.05000000000000001,0.094
dj_indep_5q,0.01,1.2,no,0.07999999999999996,0.078
dj_indep_5q,0.015,1.0,global,0.02,0.088
dj_indep_5q,0.015,1.0,local,0.04999999999999995,0.10399999999999998
dj_indep_5q,0.015,1.0,no,0.08199999999999993,0.06399999999999996
dj_indep_5q,0.015,1.1,global,0.015,0.068
dj_indep_5q,0.015,1.1,local,0.05999999999999995,0.07799999999999996
dj_indep_5q,0.015,1.1,no,0.052000000000000005,0.07399999999999998
dj_indep_5q,0.015,1.2,global,0.02999999999999995,0.061999999999999944
dj_indep_5q,0.015,1.2,local,0.0499999999999999,0.07999999999999999
dj_indep_5q,0.015,1.2,no,0.10999999999999996,0.12199999999999997
dj_indep_5q,0.02,1.0,global,0.075,0.06799999999999992
dj_indep_5q,0.02,1.0,local,0.10999999999999996,0.12999999999999995
dj_indep_5q,0.02,1.0,no,0.06399999999999996,0.07
dj_indep_5q,0.02,1.1,global,0.08499999999999999,0.07999999999999999
dj_indep_5q,0.02,1.1,local,0.05499999999999995,0.014000000000000009
dj_indep_5q,0.02,1.1,no,0.06799999999999995,0.049999999999999975
dj_indep_5q,0.02,1.2,global,0.025,0.08999999999999997
dj_indep_5q,0.02,1.2,local,0.05499999999999995,0.07400000000000001
dj_indep_5q,0.02,1.2,no,0.05399999999999994,0.10399999999999995
dj_indep_6q,0.001,1.0,global,0.049999999999999996,0.0583333333333333
dj_indep_6q,0.001,1.0,local,0.07666666666666659,0.08166666666666662
dj_indep_6q,0.001,1.0,no,0.03833333333333328,0.07666666666666663
dj_indep_6q,0.001,1.1,global,0.09333333333333331,0.09999999999999994
dj_indep_6q,0.001,1.1,local,0.11666666666666668,0.07166666666666664
dj_indep_6q,0.001,1.1,no,0.07833333333333331,0.0833333333333333
dj_indep_6q,0.001,1.2,global,0.07999999999999996,0.06500000000000002
dj_indep_6q,0.001,1.2,local,0.06,0.07833333333333327
dj_indep_6q,0.001,1.2,no,0.056666666666666636,0.10333333333333329
dj_indep_6q,0.005,1.0,global,0.07999999999999997,0.08166666666666665
dj_indep_6q,0.005,1.0,local,0.1133333333333333,0.06999999999999997
dj_indep_6q,0.005,1.0,no,0.046666666666666655,0.10333333333333328
dj_indep_6q,0.005,1.1,global,0.029999999999999968,0.048333333333333305
dj_indep_6q,0.005,1.1,local,0.026666666666666634,0.03833333333333332
dj_indep_6q,0.005,1.1,no,0.11666666666666665,0.07333333333333329
dj_indep_6q,0.005,1.2,global,0.09000000000000001,0.12
dj_indep_6q,0.005,1.2,local,0.026666666666666634,0.07833333333333328
dj_indep_6q,0.005,1.2,no,0.0633333333333333,0.05999999999999995
dj_indep_6q,0.01,1.0,global,0.07666666666666663,0.056666666666666636
dj_indep_6q,0.01,1.0,local,0.03333333333333333,0.09999999999999998
dj_indep_6q,0.01,1.0,no,0.07499999999999994,0.10833333333333332
dj_indep_6q,0.01,1.1,global,0.08999999999999997,0.08666666666666663
dj_indep_6q,0.01,1.1,local,0.03999999999999993,0.033333333333333305
dj_indep_6q,0.01,1.1,no,0.08499999999999996,0.05999999999999995
dj_indep_6q,0.01,1.2,global,0.0766666666666666,0.08333333333333331
dj_indep_6q,0.01,1.2,local,0.056666666666666636,0.048333333333333305
dj_indep_6q,0.01,1.2,no,0.07166666666666661,0.12
dj_indep_6q,0.015,1.0,global,0.09999999999999998,0.048333333333333284
dj_indep_6q,0.015,1.0,local,0.04666666666666667,0.04166666666666665
dj_indep_6q,0.015,1.0,no,0.07666666666666665,0.08
dj_indep_6q,0.015,1.1,global,0.06,0.07499999999999997
dj_indep_6q,0.015,1.1,local,0.06666666666666664,0.07999999999999999
dj_indep_6q,0.015,1.1,no,0.06833333333333332,0.07666666666666666
dj_indep_6q,0.015,1.2,global,0.06666666666666667,0.06999999999999998
dj_indep_6q,0.015,1.2,local,0.11666666666666663,0.08166666666666665
dj_indep_6q,0.015,1.2,no,0.05166666666666664,0.06499999999999996
dj_indep_6q,0.02,1.0,global,0.0733333333333333,0.08333333333333331
dj_indep_6q,0.02,1.0,local,0.0433333333333333,0.06499999999999996
dj_indep_6q,0.02,1.0,no,0.054999999999999986,0.05666666666666665
dj_indep_6q,0.02,1.1,global,0.06,0.09166666666666667
dj_indep_6q,0.02,1.1,local,0.15999999999999998,0.03499999999999993
dj_indep_6q,0.02,1.1,no,0.12333333333333325,0.10499999999999997
dj_indep_6q,0.02,1.2,global,0.09999999999999996,0.08333333333333327
dj_indep_6q,0.02,1.2,local,0.17666666666666664,0.06166666666666664
dj_indep_6q,0.02,1.2,no,0.0833333333333333,0.07999999999999999
dj_indep_7q,0.001,1.0,global,0.0833333333333333,0.20166666666666666
dj_indep_7q,0.001,1.0,local,0.08666666666666663,0.235
dj_indep_7q,0.001,1.0,no,0.22833333333333336,0.21999999999999997
dj_indep_7q,0.001,1.1,global,0.0333333333333333,0.255
dj_indep_7q,0.001,1.1,local,0.09666666666666664,0.19833333333333333
dj_indep_7q,0.001,1.1,no,0.23166666666666666,0.26166666666666666
dj_indep_7q,0.001,1.2,global,0.043333333333333335,0.29666666666666663
dj_indep_7q,0.001,1.2,local,0.10333333333333333,0.22166666666666668
dj_indep_7q,0.001,1.2,no,0.2583333333333333,0.2233333333333333
dj_indep_7q,0.005,1.0,global,0.10333333333333329,0.20333333333333334
dj_indep_7q,0.005,1.0,local,0.1133333333333333,0.235
dj_indep_7q,0.005,1.0,no,0.27499999999999997,0.19333333333333333
dj_indep_7q,0.005,1.1,global,0.1233333333333333,0.1683333333333333
dj_indep_7q,0.005,1.1,local,0.0333333333333333,0.26999999999999996
dj_indep_7q,0.005,1.1,no,0.19499999999999998,0.24333333333333332
dj_indep_7q,0.005,1.2,global,0.04333333333333336,0.20333333333333334
dj_indep_7q,0.005,1.2,local,0.11999999999999995,0.23499999999999996
dj_indep_7q,0.005,1.2,no,0.23166666666666666,0.23833333333333337
dj_indep_7q,0.01,1.0,global,0.08333333333333333,0.2333333333333333
dj_indep_7q,0.01,1.0,local,0.006666666666666609,0.20666666666666664
dj_indep_7q,0.01,1.0,no,0.21666666666666665,0.21666666666666665
dj_indep_7q,0.01,1.1,global,0.12666666666666662,0.25833333333333336
dj_indep_7q,0.01,1.1,local,0.05999999999999994,0.19166666666666665
