origin,strategy,communication_noise_multiplier,local_noise,communication_primitive,num_qubits,circuit_depth,partitioned_depth,num_partitions_requested,num_partitions_tested,noise_free_expectation,noisy_expectation,zne_expectation,noisy_error,zne_error,error_reduction,partition_time,shots,seed
pricingcall_indep_9q,global,1.1,0.01,cat,9,82,111,4,4,3.469446951953614e-17,0.05999999999999998,0.09166666666666659,0.05999999999999994,0.09166666666666656,-0.5277777777777776,0.009199142456054688,200,
pricingcall_indep_9q,global,1.2,0.01,cat,9,82,111,2,2,0.060000000000000026,0.06999999999999998,0.060000000000000005,0.009999999999999953,2.0816681711721685e-17,0.9999999999999979,0.009174108505249023,200,
pricingcall_indep_9q,global,1.2,0.01,cat,9,82,111,4,4,0.10999999999999999,0.08000000000000003,0.036666666666666715,0.029999999999999957,0.07333333333333328,-1.4444444444444462,0.009222745895385742,200,
pricingcall_indep_9q,global,1.0,0.02,cat,9,82,111,2,2,1.3877787807814457e-17,-0.17000000000000004,0.07,0.17000000000000004,0.06999999999999999,0.5882352941176472,0.009200096130371094,200,
pricingcall_indep_9q,global,1.0,0.02,cat,9,82,111,4,4,0.020000000000000004,0.03999999999999999,-0.05499999999999987,0.019999999999999983,0.07499999999999987,-2.749999999999997,0.008282899856567383,200,
pricingcall_indep_9q,global,1.1,0.02,cat,9,82,111,2,2,0.049999999999999996,-0.03000000000000001,5.204170427930421e-18,0.08,0.04999999999999999,0.37500000000000017,0.008114814758300781,200,
pricingcall_indep_9q,global,1.1,0.02,cat,9,82,111,4,4,0.16000000000000006,-0.02999999999999999,-0.14666666666666667,0.19000000000000006,0.30666666666666675,-0.6140350877192983,0.009567975997924805,200,
pricingcall_indep_9q,global,1.2,0.02,cat,9,82,111,2,2,-0.019999999999999987,-0.030000000000000034,6.071532165918825e-18,0.010000000000000047,0.019999999999999993,-0.9999999999999899,0.007941246032714844,200,
pricingcall_indep_9q,global,1.2,0.02,cat,9,82,111,4,4,-0.02999999999999997,0.009999999999999992,-0.04999999999999998,0.039999999999999966,0.02000000000000001,0.4999999999999993,0.009231090545654297,200,
ghz_nativegates_ibm_opt0_5q,global,1.0,0.001,cat,5,7,9,2,2,0.020000000000000018,-0.18,-0.020000000000000004,0.2,0.04000000000000002,0.7999999999999998,0.002184152603149414,200,
ghz_nativegates_ibm_opt0_5q,global,1.0,0.001,cat,5,7,11,4,4,0.010000000000000009,-2.0816681711721685e-17,0.0350000000000002,0.01000000000000003,0.02500000000000019,-1.5000000000000115,0.0019578933715820312,200,
ghz_nativegates_ibm_opt0_5q,global,1.1,0.001,cat,5,7,9,2,2,0.11000000000000004,-0.14999999999999997,0.016666666666666868,0.26,0.09333333333333317,0.6410256410256417,0.0016360282897949219,200,
ghz_nativegates_ibm_opt0_5q,global,1.1,0.001,cat,5,7,11,4,4,-0.06000000000000005,-0.11000000000000003,4.85722573273506e-17,0.049999999999999975,0.0600000000000001,-0.20000000000000265,0.0017588138580322266,200,
ghz_nativegates_ibm_opt0_5q,global,1.2,0.001,cat,5,7,9,2,2,-0.10000000000000003,0.06000000000000001,-2.7755575615628914e-17,0.16000000000000003,0.1,0.3750000000000001,0.00168609619140625,200,
ghz_nativegates_ibm_opt0_5q,global,1.2,0.001,cat,5,7,11,4,4,-0.030000000000000027,-0.08000000000000002,-0.09999999999999995,0.04999999999999999,0.06999999999999992,-0.3999999999999988,0.001775979995727539,200,
ghz_nativegates_ibm_opt0_5q,global,1.0,0.005,cat,5,7,9,2,2,0.050000000000000044,0.029999999999999985,0.02000000000000003,0.02000000000000006,0.030000000000000013,-0.49999999999999617,0.0017211437225341797,200,
ghz_nativegates_ibm_opt0_5q,global,1.0,0.005,cat,5,7,11,4,4,-0.030000000000000027,0.11000000000000001,0.0700000000000002,0.14000000000000004,0.10000000000000023,0.2857142857142843,0.0018031597137451172,200,
ghz_nativegates_ibm_opt0_5q,global,1.1,0.005,cat,5,7,9,2,2,-0.040000000000000036,-0.010000000000000023,0.13333333333333341,0.030000000000000013,0.17333333333333345,-4.777777777777779,0.0016629695892333984,200,
ghz_nativegates_ibm_opt0_5q,global,1.1,0.005,cat,5,7,11,4,4,-0.040000000000000036,0.05000000000000003,0.026666666666666432,0.09000000000000007,0.06666666666666647,0.25925925925926196,0.0018107891082763672,200,
ghz_nativegates_ibm_opt0_5q,global,1.2,0.005,cat,5,7,9,2,2,-0.030000000000000027,-0.009999999999999981,-0.28500000000000003,0.020000000000000046,0.255,-11.749999999999972,0.0017008781433105469,200,
ghz_nativegates_ibm_opt0_5q,global,1.2,0.005,cat,5,7,11,4,4,-0.09000000000000002,0.08,-0.010000000000000026,0.17000000000000004,0.08,0.5294117647058825,0.0017631053924560547,200,
ghz_nativegates_ibm_opt0_5q,global,1.1,0.01,cat,5,7,9,2,2,0.08000000000000002,-1.3877787807814457e-17,0.125,0.08000000000000003,0.044999999999999984,0.4375000000000004,0.0016236305236816406,200,
ghz_nativegates_ibm_opt0_5q,global,1.1,0.01,cat,5,7,11,4,4,0.030000000000000027,0.10999999999999999,0.11833333333333322,0.07999999999999996,0.0883333333333332,-0.10416666666666548,0.0019371509552001953,200,
